index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,00001452,5202,0.079376220703125,0.077796,0.001580220703124996,0.001580220703124996,103.56134399999974,104
1,00002199,8601,0.1312408447265625,0.130523,0.0007178447265624999,0.0007178447265624999,47.04467199999999,47
2,FFFFE126,-7898,-0.120513916015625,-0.122021,0.0015070839843750045,0.0015070839843750045,98.76825600000029,99
3,FFFFFADB,-1317,-0.0200958251953125,-0.021469,0.0013731748046874985,0.0013731748046874985,89.9923839999999,90
4,00000632,1586,0.024200439453125,0.024577,-0.0003765605468750016,0.0003765605468750016,24.678272000000106,-25
5,FFFFBA97,-17769,-0.2711334228515625,-0.271104,-2.942285156248836e-05,2.942285156248836e-05,1.9282559999992372,-2
6,00008E93,36499,0.5569305419921875,0.558553,-0.0016224580078124662,0.0016224580078124662,106.32940799999778,-106
7,00005307,21255,0.3243255615234375,0.322517,0.0018085615234375019,0.0018085615234375019,118.52588800000012,119
8,FFFFD09B,-12133,-0.1851348876953125,-0.185999,0.0008641123046874977,0.0008641123046874977,56.63046399999985,57
9,FFFFE977,-5769,-0.0880279541015625,-0.086775,-0.001252954101562495,0.001252954101562495,82.11359999999968,-82
10,00000A20,2592,0.03955078125,0.038986,0.0005647812500000002,0.0005647812500000002,37.01350400000001,37
11,0000360E,13838,0.211151123046875,0.21126,-0.00010887695312500334,0.00010887695312500334,7.135360000000219,-7
12,0000337D,13181,0.2011260986328125,0.201964,-0.0008379013671875046,0.0008379013671875046,54.9127040000003,-55
13,FFFFE647,-6585,-0.1004791259765625,-0.100399,-8.012597656249787e-05,8.012597656249787e-05,5.25113599999986,-5
14,00004141,16705,0.2548980712890625,0.256265,-0.0013669287109375206,0.0013669287109375206,89.58304000000135,-90
15,FFFFF386,-3194,-0.048736572265625,-0.049319,0.0005824277343750017,0.0005824277343750017,38.16998400000011,38
16,00000C44,3140,0.04791259765625,0.047278,0.0006345976562499994,0.0006345976562499994,41.58899199999996,42
17,FFFFE575,-6795,-0.1036834716796875,-0.105358,0.0016745283203124933,0.0016745283203124933,109.74188799999956,110
18,FFFFD1A4,-11868,-0.18109130859375,-0.180642,-0.000449308593750003,0.000449308593750003,29.445888000000195,-29
19,FFFFEDA2,-4702,-0.071746826171875,-0.071077,-0.0006698261718749987,0.0006698261718749987,43.897727999999915,-44
20,FFFFCDD4,-12844,-0.19598388671875,-0.194311,-0.0016728867187499885,0.0016728867187499885,109.63430399999925,-110
21,0000051D,1309,0.0199737548828125,0.021498,-0.0015242451171874997,0.0015242451171874997,99.89292799999998,-100
22,00000A44,2628,0.04010009765625,0.040297,-0.0001969023437499995,0.0001969023437499995,12.904191999999966,-13
23,FFFFDA29,-9687,-0.1478118896484375,-0.146503,-0.0013088896484375057,0.0013088896484375057,85.77939200000037,-86
24,FFFFD673,-10637,-0.1623077392578125,-0.162493,0.00018526074218749855,0.00018526074218749855,12.141247999999905,12
25,00004F57,20311,0.3099212646484375,0.310216,-0.00029473535156249175,0.00029473535156249175,19.31577599999946,-19
26,FFFFD66C,-10644,-0.16241455078125,-0.164203,0.0017884492187499879,0.0017884492187499879,117.2078079999992,117
27,FFFFD58F,-10865,-0.1657867431640625,-0.166581,0.0007942568359375068,0.0007942568359375068,52.05241600000045,52
28,FFFFDD4C,-8884,-0.13555908203125,-0.134064,-0.0014950820312500113,0.0014950820312500113,97.98169600000074,-98
29,FFFFDB24,-9436,-0.14398193359375,-0.145722,0.0017400664062499904,0.0017400664062499904,114.03699199999937,114
30,FFFFCA50,-13744,-0.209716796875,-0.209102,-0.0006147968749999899,0.0006147968749999899,40.29132799999934,-40
31,FFFFFBDB,-1061,-0.0161895751953125,-0.017798,0.0016084248046875013,0.0016084248046875013,105.40972800000009,105
32,0000220E,8718,0.133026123046875,0.131134,0.0018921230468749994,0.0018921230468749994,124.00217599999996,124
