index,rtl_hex,rtl_q16_integer,rtl_float,reference_float,signed_error,absolute_error,absolute_error_lsb,error_vs_rounded_reference_lsb
0,00002401,9217,0.1406402587890625,0.139886,0.0007542587890624897,0.0007542587890624897,49.43110399999932,49
1,FFFFD8FE,-9986,-0.152374267578125,-0.153975,0.0016007324218750008,0.0016007324218750008,104.90560000000005,105
2,FFFFDBFE,-9218,-0.140655517578125,-0.14136,0.0007044824218750134,0.0007044824218750134,46.16896000000088,46
3,00000100,256,0.00390625,0.004544,-0.0006377500000000003,0.0006377500000000003,41.79558400000002,-42
4,FFFFDFFF,-8193,-0.1250152587890625,-0.124056,-0.0009592587890625004,0.0009592587890625004,62.865984000000026,-63
5,FFFFFE00,-512,-0.0078125,-0.006633,-0.0011795,0.0011795,77.299712,-77
6,00001A01,6657,0.1015777587890625,0.101613,-3.524121093749499e-05,3.524121093749499e-05,2.309567999999672,-2
7,00005004,20484,0.31256103515625,0.311826,0.0007350351562500079,0.0007350351562500079,48.17126400000052,48
8,00000100,256,0.00390625,0.004856,-0.0009497500000000001,0.0009497500000000001,62.242816000000005,-62
9,FFFFBFFD,-16387,-0.2500457763671875,-0.248306,-0.001739776367187501,0.001739776367187501,114.01798400000007,-114
10,FFFFEAFE,-5378,-0.082061767578125,-0.083453,0.0013912324218749994,0.0013912324218749994,91.17580799999996,91
11,FFFFF900,-1792,-0.02734375,-0.028198,0.0008542500000000008,0.0008542500000000008,55.984128000000055,56
12,FFFFF3FF,-3073,-0.0468902587890625,-0.045754,-0.001136258789062497,0.001136258789062497,74.4658559999998,-74
13,00004102,16642,0.253936767578125,0.255359,-0.0014222324218750027,0.0014222324218750027,93.20742400000017,-93
14,00003702,14082,0.214874267578125,0.213187,0.0016872675781250124,0.0016872675781250124,110.57676800000081,111
15,FFFFECFF,-4865,-0.0742340087890625,-0.075829,0.0015949912109374936,0.0015949912109374936,104.52934399999958,105
16,FFFFDFFE,-8194,-0.125030517578125,-0.126919,0.001888482421875004,0.001888482421875004,123.76358400000026,124
17,FFFFE4FE,-6914,-0.105499267578125,-0.104556,-0.0009432675781250038,0.0009432675781250038,61.81798400000025,-62
18,FFFFFB00,-1280,-0.01953125,-0.020666,0.0011347500000000003,0.0011347500000000003,74.36697600000002,74
19,FFFFD9FD,-9731,-0.1484832763671875,-0.147619,-0.0008642763671874998,0.0008642763671874998,56.641215999999986,-57
20,FFFFE9FF,-5633,-0.0859527587890625,-0.084424,-0.001528758789062501,0.001528758789062501,100.18873600000006,-100
21,FFFFECFF,-4865,-0.0742340087890625,-0.073316,-0.0009180087890624938,0.0009180087890624938,60.162623999999596,-60
22,00001E02,7682,0.117218017578125,0.11785,-0.0006319824218749964,0.0006319824218749964,41.417599999999766,-41
23,FFFFFC00,-1024,-0.015625,-0.014052,-0.0015729999999999997,0.0015729999999999997,103.08812799999998,-103
24,FFFFDEFF,-8449,-0.1289215087890625,-0.130483,0.0015614912109374879,0.0015614912109374879,102.3338879999992,102
25,FFFFD6FD,-10499,-0.1602020263671875,-0.162093,0.001890973632812487,0.001890973632812487,123.92684799999915,124
26,FFFFF2FF,-3329,-0.0507965087890625,-0.05174,0.0009434912109375013,0.0009434912109375013,61.83264000000008,62
27,00000500,1280,0.01953125,0.017993,0.0015382500000000014,0.0015382500000000014,100.8107520000001,101
28,00001701,5889,0.0898590087890625,0.088713,0.0011460087890624998,0.0011460087890624998,75.10483199999999,75
29,00000600,1536,0.0234375,0.023962,-0.0005245000000000007,0.0005245000000000007,34.37363200000004,-34
30,00000A01,2561,0.0390777587890625,0.037992,0.001085758789062502,0.001085758789062502,71.15628800000013,71
31,FFFFD3FE,-11266,-0.171905517578125,-0.173154,0.0012484824218750024,0.0012484824218750024,81.82054400000015,82
32,000028B5,10421,0.1590118408203125,0.157768,0.0012438408203125084,0.0012438408203125084,81.51635200000055,82
33,000000F8,248,0.0037841796875,0.002057,0.0017271796875000002,0.0017271796875000002,113.19244800000001,113
34,FFFFD741,-10431,-0.1591644287109375,-0.158239,-0.0009254287109375092,0.0009254287109375092,60.648896000000605,-61
35,FFFFFA72,-1422,-0.021697998046875,-0.023224,0.0015260019531250016,0.0015260019531250016,100.0080640000001,100
36,FFFFE108,-7928,-0.1209716796875,-0.122593,0.0016213203124999936,0.0016213203124999936,106.25484799999958,106
